,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
0,2016.09.18.c,18-Sep-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,16,N
1,2016.09.18.b,18-Sep-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,36,N
2,2016.09.18.a,18-Sep-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,43,N
3,2016.09.17,17-Sep-16,2016,AUSTRALIA,Thirteenth Beach,Swimming/Surfing/Boogie Boarding,M,,N
4,2016.09.15,16-Sep-16,2016,AUSTRALIA,Bells Beach,Swimming/Surfing/Boogie Boarding,M,,N
5,2016.09.15.R,15-Sep-16,2016,AUSTRALIA,Bunbury,Fishing/Spearfishing,Unknown,,N
6,2016.09.11,11-Sep-16,2016,USA,"Ponte Vedra, St. Johns County",Standing/Wading/Walking,M,60s,N
7,2016.09.07,07-Sep-16,2016,USA,"Makaha, Oahu",Swimming/Surfing/Boogie Boarding,F,51,N
8,2016.09.06,06-Sep-16,2016,NEW CALEDONIA,Koumac,Swimming/Surfing/Boogie Boarding,M,50,Y
9,2016.09.05.b,05-Sep-16,2016,USA,"Kingston Plantation, Myrtle Beach, Horry County",Swimming/Surfing/Boogie Boarding,F,12,N
10,2016.09.05.a,05-Sep-16,2016,AUSTRALIA,Injidup ,Swimming/Surfing/Boogie Boarding,M,,N
11,2016.09.04,04-Sep-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,9,N
12,2016.09.01,01-Sep-16,2016,USA,"Refugio State Beach, Santa Barbara County",Fishing/Spearfishing,M,22,N
13,2016.08.29.b,29-Aug-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,25,N
14,2016.08.29.a,29-Aug-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,37,N
15,2016.08.27,27-Aug-16,2016,REUNION,Boucan Canot,Swimming/Surfing/Boogie Boarding,M,20,N
16,2016.08.25,25-Aug-16,2016,USA,"Ponte Vedra, St. Johns County",Standing/Wading/Walking,M,49,N
17,2016.08.07,07-Aug-16,2016,BAHAMAS,Nassau,Diving/Scuba Diving/Freediving,M,15,N
18,2016.08.06,06-Aug-16,2016,USA,Maui,,M,21,N
19,2016.08.04,04-Aug-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,22,N
20,2016.07.29,29-Jul-16,2016,SPAIN,Arenales del Sol,Swimming/Surfing/Boogie Boarding,M,40,N
21,2016.07.28.R,28-Jul-16,2016,CHINA,,Swimming/Surfing/Boogie Boarding,M,72,N
22,2016.07.28,28-Jul-16,2016,AUSTRALIA,Near Albany,Kayaking/Canoeing/Rowing,M,,N
23,2016.07.27,27-Jul-16,2016,USA,"Florida Keys, Monroe County",,M,43,N
24,2016.07.26,26-Jul-16,2016,AUSTRALIA,"Sharpes Beach, Ballina",Swimming/Surfing/Boogie Boarding,M,18,N
25,2016.07.24,24-Jul-16,2016,JAPAN,Irino Beach,Swimming/Surfing/Boogie Boarding,M,29,N
26,2016.07.23.b,23-Jul-16,2016,AUSTRALIA,Clifton Beach,Swimming/Surfing/Boogie Boarding,M,36,N
27,2016.07.23.a,23-Jul-16,2016,BAHAMAS,Green Turtle Cay,Fishing/Spearfishing,M,,N
28,2016.07.20,20-Jul-16,2016,AUSTRALIA,"20 k off The Spit, off the Gold Coast",Fishing/Spearfishing,M,31,N
29,2016.07.17,17-Jul-16,2016,USA,8 miles off Mobile,,Unknown,,N
30,2016.07.16.b,16-Jul-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,F,9,N
31,2016.07.16.a,16-Jul-16,2016,USA,"New Smyrna Beach, Volusia County",,F,11,N
32,2016.07.15,15-Jul-16,2016,USA,"North Myrtle Beach, Horry County",Swimming/Surfing/Boogie Boarding,M,,N
33,2016.07.14.4,Reported  14-Jul-2016,2016,BAHAMAS,Tiger Beach,Diving/Scuba Diving/Freediving,M,,N
34,2016.07.08.R,Reported 08-Jul-2016,2016,SPAIN,"Las Teresitas, Tenerife",Standing/Wading/Walking,F,10,N
35,2016.07.08,08-Jul-16,2016,USA,"Capitola, Santa Cruz County",,M,,N
36,2016.07.07.b,07-Jul-16,2016,USA,"Off Gloucester, Essec County",Fishing/Spearfishing,M,59,N
37,2016.07.07.a,07-Jul-16,2016,USA,"Off Palos Verdes peninsula, Los Angeles County",Fishing/Spearfishing,M,,N
38,2016.07.06,06-Jul-16,2016,USA,"Melbourne Beach, Brevard County",Swimming/Surfing/Boogie Boarding,F,42,N
39,2016.07.04,04-Jul-16,2016,AUSTRALIA,Palm Cove ,Fishing/Spearfishing,M,34,N
40,2016.06.27,27-Jun-16,2016,USA,Sullivan's Island,,M,35,N
41,2016.06.25,25-Jun-16,2016,USA,"Atlantic Beach, Emerald Isle, Carteret County",Swimming/Surfing/Boogie Boarding,M,11,N
42,2016.06.24,24-Jun-16,2016,COLOMBIA,,Diving/Scuba Diving/Freediving,M,59,N
